,I,gq,groups,score
129,0.30101010101,0.33666666666699996,1,-571.73
130,0.30101010101,0.34656565656599997,1,-571.73
131,0.30101010101,0.366363636364,1,-571.73
132,0.30101010101,0.356464646465,1,-571.73
133,0.30101010101,0.376262626263,1,-571.73
134,0.30101010101,0.386161616162,1,-571.73
135,0.30101010101,0.46535353535400004,3,-238.12
136,0.30101010101,0.445555555556,3,-238.12
137,0.30101010101,0.396060606061,1,-571.73
138,0.30101010101,0.455454545455,3,-238.12
139,0.30101010101,0.435656565657,3,-238.12
140,0.30101010101,0.40595959596000003,1,-571.73
141,0.30101010101,0.425757575758,2,-311.84
142,0.30101010101,0.415858585859,1,-571.73
143,0.30101010101,0.47525252525300005,5,-159.2
144,0.30101010101,0.48515151515199995,5,-159.2
145,0.30101010101,0.504949494949,7,-123.21
146,0.30101010101,0.49505050505099996,6,-138.5
147,0.30101010101,0.623737373737,66,-73.11
148,0.30101010101,0.603939393939,48,-32.99
149,0.30101010101,0.613838383838,55,-47.89
150,0.30101010101,0.633636363636,75,-94.92
151,0.30101010101,0.643535353535,89,-131.31
152,0.30101010101,0.653434343434,98,-155.81
153,0.30101010101,0.663333333333,115,-203.67
154,0.30101010101,0.673232323232,135,-262.95
155,0.30101010101,0.69303030303,171,-375.37
156,0.30101010101,0.702929292929,196,-457.44
157,0.30101010101,0.683131313131,149,-306.0
158,0.30101010101,0.712828282828,222,-545.33
159,0.30101010101,0.514848484848,7,-123.21
160,0.30101010101,0.5643434343429999,20,-39.47
161,0.30101010101,0.722727272727,238,-600.71
162,0.30101010101,0.534646464646,13,-76.44
163,0.30101010101,0.524747474747,8,-111.08
164,0.30101010101,0.742525252525,306,-844.68
165,0.30101010101,0.7524242424240001,331,-937.74
166,0.30101010101,0.5445454545449999,15,-66.14
167,0.30101010101,0.762323232323,358,-1040.05
168,0.30101010101,0.7722222222220001,386,-1147.88
169,0.30101010101,0.7821212121209999,413,-1253.17
170,0.30101010101,0.7920202020199999,435,-1340.23
171,0.30101010101,0.801919191919,458,-1432.42
172,0.30101010101,0.8118181818179999,485,-1541.92
173,0.30101010101,0.821717171717,510,-1644.6
174,0.30101010101,0.8316161616159999,541,-1773.33
175,0.30101010101,0.841515151515,573,-1907.83
176,0.30101010101,0.851414141414,587,-1967.16
177,0.30101010101,0.861313131313,615,-2086.76
178,0.30101010101,0.871212121212,642,-2203.13
179,0.30101010101,0.881111111111,671,-2329.26
180,0.30101010101,0.9009090909090001,722,-2553.87
181,0.30101010101,0.8910101010100001,697,-2443.35
182,0.30101010101,0.910808080808,744,-2651.8
183,0.30101010101,0.9207070707070001,764,-2741.37
184,0.30101010101,0.9306060606059999,791,-2863.06
185,0.30101010101,0.9405050505050001,822,-3003.81
186,0.30101010101,0.950404040404,850,-3131.89
187,0.30101010101,0.960303030303,892,-3325.65
188,0.30101010101,0.970202020202,925,-3479.23
189,0.30101010101,0.980101010101,948,-3586.94
190,0.30101010101,0.99,969,-3685.76
191,0.50202020202,0.01,1,-571.73
192,0.50202020202,0.019898989899,1,-571.73
193,0.50202020202,0.029797979797999998,1,-571.73
194,0.50202020202,0.039696969697,1,-571.73
195,0.50202020202,0.049595959595999994,1,-571.73
196,0.50202020202,0.05949494949490001,1,-571.73
197,0.50202020202,0.06939393939389998,1,-571.73
198,0.50202020202,0.0792929292929,1,-571.73
199,0.50202020202,0.08919191919189999,1,-571.73
200,0.50202020202,0.09909090909089999,1,-571.73
201,0.50202020202,0.10898989899,1,-571.73
202,0.50202020202,0.11888888888900001,1,-571.73
203,0.50202020202,0.128787878788,1,-571.73
204,0.50202020202,0.14858585858599999,1,-571.73
205,0.50202020202,0.138686868687,1,-571.73
206,0.50202020202,0.158484848485,1,-571.73
207,0.50202020202,0.16838383838399998,1,-571.73
208,0.50202020202,0.178282828283,1,-571.73
209,0.50202020202,0.188181818182,1,-571.73
210,0.50202020202,0.198080808081,1,-571.73
211,0.50202020202,0.20797979798,1,-571.73
212,0.50202020202,0.217878787879,1,-571.73
213,0.50202020202,0.227777777778,1,-571.73
214,0.50202020202,0.23767676767700002,1,-571.73
215,0.50202020202,0.24757575757599998,1,-571.73
216,0.50202020202,0.257474747475,1,-571.73
217,0.50202020202,0.267373737374,1,-571.73
218,0.50202020202,0.277272727273,1,-571.73
219,0.50202020202,0.287171717172,1,-571.73
220,0.50202020202,0.29707070707100003,1,-571.73
221,0.50202020202,0.30696969697,1,-571.73
222,0.50202020202,0.316868686869,1,-571.73
223,0.50202020202,0.326767676768,1,-571.73
224,0.50202020202,0.33666666666699996,1,-571.73
225,0.50202020202,0.34656565656599997,1,-571.73
226,0.50202020202,0.356464646465,1,-571.73
227,0.50202020202,0.366363636364,1,-571.73
228,0.50202020202,0.376262626263,1,-571.73
229,0.50202020202,0.386161616162,1,-571.73
230,0.50202020202,0.40595959596000003,1,-571.73
231,0.50202020202,0.396060606061,1,-571.73
232,0.50202020202,0.425757575758,2,-311.84
233,0.50202020202,0.435656565657,3,-238.12
234,0.50202020202,0.445555555556,3,-238.12
235,0.50202020202,0.415858585859,1,-571.73
236,0.50202020202,0.46535353535400004,3,-238.12
237,0.50202020202,0.455454545455,3,-238.12
238,0.50202020202,0.47525252525300005,5,-159.2
239,0.50202020202,0.584141414141,32,-9.47
240,0.50202020202,0.59404040404,40,-17.85
241,0.30101010101,0.7326262626260001,271,-717.46
242,0.50202020202,0.603939393939,48,-32.99
243,0.50202020202,0.5643434343429999,20,-39.47
244,0.50202020202,0.613838383838,55,-47.89
245,0.50202020202,0.623737373737,66,-73.11
246,0.50202020202,0.633636363636,75,-94.92
247,0.50202020202,0.643535353535,89,-131.31
248,0.50202020202,0.653434343434,98,-155.81
249,0.50202020202,0.5445454545449999,15,-66.14
250,0.50202020202,0.663333333333,115,-203.67
251,0.50202020202,0.504949494949,7,-123.21
252,0.50202020202,0.673232323232,135,-262.95
253,0.50202020202,0.683131313131,149,-306.0
254,0.50202020202,0.48515151515199995,5,-159.2
255,0.50202020202,0.524747474747,8,-111.08
256,0.50202020202,0.69303030303,171,-375.37
257,0.50202020202,0.514848484848,7,-123.21
258,0.50202020202,0.49505050505099996,6,-138.5
259,0.50202020202,0.702929292929,196,-457.44
260,0.50202020202,0.534646464646,13,-76.44
261,0.50202020202,0.712828282828,222,-545.33
262,0.50202020202,0.722727272727,238,-600.71
263,0.50202020202,0.7326262626260001,271,-717.46
264,0.50202020202,0.742525252525,306,-844.68
265,0.50202020202,0.7524242424240001,331,-937.74
266,0.50202020202,0.762323232323,358,-1040.05
267,0.50202020202,0.7722222222220001,386,-1147.88
268,0.50202020202,0.7821212121209999,413,-1253.17
269,0.50202020202,0.7920202020199999,435,-1340.23
270,0.50202020202,0.801919191919,458,-1432.42
271,0.50202020202,0.8118181818179999,485,-1541.92
272,0.50202020202,0.821717171717,510,-1644.6
273,0.50202020202,0.8316161616159999,541,-1773.33
274,0.50202020202,0.841515151515,573,-1907.83
275,0.50202020202,0.851414141414,587,-1967.16
276,0.50202020202,0.861313131313,615,-2086.76
277,0.50202020202,0.871212121212,642,-2203.13
278,0.50202020202,0.881111111111,671,-2329.26
279,0.50202020202,0.8910101010100001,697,-2443.35
280,0.50202020202,0.9009090909090001,722,-2553.87
281,0.50202020202,0.910808080808,744,-2651.8
282,0.50202020202,0.9207070707070001,764,-2741.37
283,0.50202020202,0.9306060606059999,791,-2863.06
284,0.50202020202,0.9405050505050001,822,-3003.81
285,0.50202020202,0.950404040404,850,-3131.89
286,0.50202020202,0.960303030303,892,-3325.65
287,0.50202020202,0.970202020202,925,-3479.23
288,0.50202020202,0.980101010101,948,-3586.94
289,0.50202020202,0.99,969,-3685.76
290,0.70303030303,0.01,1,-571.73
291,0.70303030303,0.019898989899,1,-571.73
292,0.70303030303,0.029797979797999998,1,-571.73
293,0.70303030303,0.039696969697,1,-571.73
294,0.70303030303,0.049595959595999994,1,-571.73
295,0.70303030303,0.05949494949490001,1,-571.73
296,0.70303030303,0.06939393939389998,1,-571.73
