Gen	I	gq	result
0	8.99338397170557	0.2141729642840837	-571.73
1	8.72633344976533	0.09299572539632514	-571.73
2	9.862659854656762	0.09916560083505928	-571.73
3	8.474238590188902	0.13276575503725008	-571.73
4	7.373010021205801	0.05204282780847033	-571.73
5	6.937525889265825	0.06418106303695725	-571.73
6	7.8745481141979266	0.11520904363820043	-571.73
7	7.860868867090721	0.05026768979755865	-571.73
8	8.114614793253644	0.11802152187450807	-571.73
9	6.165120323798431	0.10417512817678164	-571.73
10	4.109531370657631	0.20554004792572383	-571.73
11	3.987113226161936	0.17647367118994975	-571.73
12	4.8192222183226585	0.2282517129215607	-571.73
13	6.057419227104364	0.19683875293293632	-571.73
14	3.029881357684456	0.12144967358542619	-571.73
15	1.9823255751523616	0.12497735787678252	-571.73
16	2.597549664843028	0.15038125562905405	-571.73
17	3.807202996623414	0.12040566963515614	-571.73
18	3.693409331172305	0.11042969245949201	-571.73
19	2.859687419871958	0.19967966690241343	-571.73
20	2.5822378655378184	0.157906683632712	-571.73
21	4.091399902110259	0.14437592157141885	-571.73
22	4.758050587346341	0.17169252186340947	-571.73
23	4.150519942342682	0.15651882144706816	-571.73
24	4.247797329604319	0.15390297678891002	-571.73
25	3.490992881413648	0.1858401717562575	-571.73
26	2.3760677071574703	0.16340056283083004	-571.73
27	2.921116026554797	0.174780557715518	-571.73
28	1.625126739085411	0.14295219851958618	-571.73
29	1.4255291140719257	0.11887469979826423	-571.73
30	1.985755748968074	0.11345828591836983	-571.73
31	2.846716514048329	0.16135924566859375	-571.73
32	1.5374996812164157	0.22991181014011253	-571.73
33	2.3196432746513462	0.24509100555068963	-571.73
34	2.3447871487153167	0.22111152082058194	-571.73
35	1.5987864424603828	0.28775258885227384	-571.73
36	1.4478478448018661	0.25672629113146384	-571.73
37	1.595146587043002	0.2604427652797888	-571.73
38	2.7025019910374106	0.2549425290751849	-571.73
39	2.320817803542404	0.264924763991915	-571.73
40	3.062398339711608	0.40863963609436443	-122.22
41	3.438774350096806	0.41668286151004275	-121.36
42	3.3143774763804243	0.4231475263763306	-99.84
43	4.413602765107333	0.4336221144709521	-90.57
44	6.564342196543672	0.4413823147272454	-52.76
45	5.894545299480358	0.4088989777911739	-108.78
46	6.643136585048694	0.4077226699880445	-108.78
47	5.289724247271458	0.38656065209447904	-129.07
48	5.7956751269409414	0.3915152395712302	-121.36
49	5.291867620383972	0.37437910317052586	-145.97
50	5.822760300814431	0.44511294786233613	-55.89
51	4.555683553243664	0.47805723037770104	-43.25
52	2.3648860396105387	0.45662537526571134	-71.3
53	1.6031441666679136	0.3888379199852078	-148.57
54	1.6031441666679136	0.3888379199852078	-148.57
55	3.2534000875766114	0.3831553284725151	-141.57
56	2.6783023819030918	0.30138014048435313	-292.36
57	2.101620556542411	0.32160225063039477	-211.68
58	1.586339631669016	0.31640565161941436	-571.73
59	1.7676636986811698	0.3150035523777736	-571.73
60	2.2862006786045024	0.3174626187007229	-196.68
61	1.7618921170304929	0.2505821532838738	-571.73
62	1.8477581786897683	0.17388040400929405	-571.73
63	1.7561449955633759	0.22539322787800598	-571.73
64	3.0715607335715003	0.19629299186204582	-571.73
65	2.770577921070322	0.166812941682014	-571.73
66	2.0293392328792064	0.18035623127964534	-571.73
67	2.5168850181443325	0.2587606862106186	-571.73
68	2.0888263581779847	0.28969500911241586	-571.73
69	2.302841008441275	0.4126847598245097	-122.22
70	2.668331887978124	0.4486763720576983	-76.44
71	2.4660861184766683	0.4665927064972752	-64.23
72	1.4740413717814782	0.3824216231149565	-163.68
73	1.4078930515208659	0.4096296473775772	-137.24
74	1.6183860115366198	0.39584583575125887	-137.24
75	2.259556610708389	0.3357024437693709	-215.01
76	1.7057233512852172	0.3148221799133283	-571.73
77	2.086511657433073	0.2893967270278059	-571.73
78	1.7315276820718046	0.2476425040430678	-571.73
79	2.417529779942221	0.2249633369009248	-571.73
80	3.5209286816039125	0.15123204042366867	-571.73
81	2.7299082266150174	0.17221769087482014	-571.73
82	3.1274696188307716	0.23745709667120807	-571.73
83	3.414101397727203	0.21430639458934342	-571.73
84	3.5346798534089596	0.18769713739757865	-571.73
85	4.415837843624553	0.14321380200195027	-571.73
86	5.048016591736275	0.14107007729064228	-571.73
87	3.3060482056259395	0.07328673276622931	-571.73
88	2.4908426119434415	0.07293067223647148	-571.73
89	3.7820012384080055	0.0838187087079388	-571.73
90	3.5470116490663286	0.08725405917046726	-571.73
91	3.932079523637133	0.06627352358416534	-571.73
92	3.0853617332609877	0.053993969132025185	-571.73
93	3.5842523280641223	0.0663457554325978	-571.73
94	3.9287843546201224	0.06316823480185332	-571.73
95	2.937444732252198	0.06551457811119189	-571.73
96	1.6246748232921902	0.07623984618757232	-571.73
97	2.7544067806002235	0.1134387134098721	-571.73
98	3.6303620187660224	0.11778326977893838	-571.73
99	3.4691440870176256	0.09899709406058538	-571.73
100	4.625216343924178	0.09495400191099768	-571.73
101	3.5036124457452447	0.4099756086420404	-109.65
102	4.400917636377293	0.4204495312671693	-121.36
103	7.011403832531361	0.4581729441351707	-47.19
104	7.379561897063416	0.5048591118936754	-20.69
105	7.379561897063416	0.5048591118936754	-20.69
106	6.202165963205282	0.5119982560268922	-19.98
107	6.6948702209423985	0.49479296991556343	-17.19
108	6.6948702209423985	0.49479296991556343	-17.19
109	7.013614075369849	0.43542787662174437	-59.23
110	7.013614075369849	0.43542787662174437	-59.23
111	7.846645497930988	0.49932243048630065	-20.55
112	6.182449462729732	0.5052379834117071	-16.22
113	6.182449462729732	0.5052379834117071	-16.22
114	6.182449462729732	0.5052379834117071	-16.22
115	4.88454079221245	0.4546785011325673	-60.03
116	4.334362652249566	0.440626879805601	-70.77
117	4.1226922913977795	0.4721009676081868	-51.61
118	5.568680681063267	0.33632591951185703	-209.01
119	4.5560029976114444	0.3395549609042712	-209.01
120	3.621632416040286	0.4032957567649156	-121.36
121	3.3902878794354208	0.4469121877390694	-76.44
122	1.9211190342344155	0.4104228311764064	-137.24
123	1.6509966872785935	0.44683380758007346	-83.14
124	3.4017672846632956	0.48975937792391	-34.59
125	3.523718880836213	0.5229913563636429	-19.1
126	3.0954266459581845	0.5324775831084704	-22.78
127	2.205407171878075	0.6020815423216164	-163.09
128	3.8245715583441555	0.5310350692027417	-21.17
129	3.659182292411961	0.5112441008962666	-23.09
130	2.0187805427634613	0.5540150525647684	-33.36
131	2.3404883138228705	0.5334749963325576	-19.66
132	1.7199745214763476	0.5887884315317717	-102.41
133	1.4977509020956628	0.5968367404100215	-122.73
134	1.4977509020956628	0.5968367404100215	-122.73
135	2.893963733829882	0.549273198144418	-31.17
136	4.563865616218101	0.5617568358031865	-73.12
137	3.4507349832352	0.6102653286949582	-197.99
138	3.4507349832352	0.6102653286949582	-197.99
139	3.4507349832352	0.6102653286949582	-197.99
140	6.201657733862616	0.5161856459858961	-18.1
141	5.597018397220978	0.5205956684578027	-20.82
142	5.941667895015667	0.6416635604458809	-412.5
143	6.194562101224523	0.6425532730051567	-412.54
144	5.473051904891849	0.5346642920052085	-34.92
