,I,gq,groups,score
130,0.30101010101,0.30696969697,1,-135.76
131,0.30101010101,0.316868686869,1,-135.76
132,0.30101010101,0.326767676768,1,-135.76
133,0.30101010101,0.33666666666699996,1,-135.76
134,0.30101010101,0.34656565656599997,1,-135.76
135,0.30101010101,0.356464646465,1,-135.76
136,0.30101010101,0.366363636364,1,-135.76
137,0.30101010101,0.376262626263,1,-135.76
138,0.30101010101,0.386161616162,1,-135.76
139,0.30101010101,0.396060606061,1,-135.76
140,0.30101010101,0.40595959596000003,1,-135.76
141,0.30101010101,0.425757575758,1,-135.76
142,0.30101010101,0.415858585859,1,-135.76
143,0.30101010101,0.435656565657,1,-135.76
144,0.30101010101,0.445555555556,1,-135.76
145,0.30101010101,0.455454545455,1,-135.76
146,0.30101010101,0.46535353535400004,1,-135.76
147,0.30101010101,0.47525252525300005,1,-135.76
148,0.30101010101,0.48515151515199995,2,-71.87
149,0.30101010101,0.504949494949,2,-71.87
150,0.30101010101,0.49505050505099996,2,-71.87
151,0.30101010101,0.514848484848,2,-71.87
152,0.30101010101,0.524747474747,2,-71.87
153,0.30101010101,0.534646464646,3,-44.88
154,0.30101010101,0.5445454545449999,4,-33.95
155,0.30101010101,0.554444444444,5,-27.48
156,0.30101010101,0.5643434343429999,7,-17.13
157,0.30101010101,0.574242424242,7,-17.13
158,0.30101010101,0.584141414141,8,-14.2
159,0.30101010101,0.59404040404,9,-9.3
160,0.30101010101,0.603939393939,9,-9.3
161,0.30101010101,0.613838383838,11,-3.53
162,0.30101010101,0.623737373737,13,-4.59
163,0.30101010101,0.633636363636,15,-7.33
164,0.30101010101,0.643535353535,18,-9.98
165,0.30101010101,0.653434343434,18,-9.98
166,0.30101010101,0.663333333333,20,-13.64
167,0.30101010101,0.673232323232,23,-19.13
168,0.30101010101,0.683131313131,24,-21.11
169,0.30101010101,0.69303030303,24,-21.11
170,0.30101010101,0.702929292929,27,-27.35
171,0.30101010101,0.722727272727,33,-40.43
172,0.30101010101,0.712828282828,32,-38.18
173,0.30101010101,0.7326262626260001,37,-48.23
174,0.30101010101,0.742525252525,37,-48.23
175,0.30101010101,0.7524242424240001,38,-49.3
176,0.30101010101,0.762323232323,39,-51.78
177,0.30101010101,0.7722222222220001,42,-59.08
178,0.30101010101,0.7920202020199999,49,-76.61
179,0.30101010101,0.7821212121209999,47,-71.56
180,0.30101010101,0.801919191919,50,-79.15
181,0.30101010101,0.821717171717,51,-81.7
182,0.30101010101,0.8118181818179999,50,-79.15
183,0.30101010101,0.8316161616159999,53,-86.84
184,0.30101010101,0.841515151515,58,-99.84
185,0.30101010101,0.851414141414,59,-102.47
186,0.30101010101,0.861313131313,59,-102.47
187,0.30101010101,0.871212121212,61,-107.79
188,0.30101010101,0.881111111111,63,-113.18
189,0.30101010101,0.8910101010100001,65,-118.53
190,0.30101010101,0.9009090909090001,65,-118.53
